Key,Greek
This file could not be opened. It may be corrupted or not a valid PDF.,Δεν ήταν δυνατό να ανοιχτεί αυτό το αρχείο. Ίσως να είναι κατεστραμμένο ή να μην είναι έγκυρο αρχείο PDF.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","Αυτό το αρχείο δεν είναι διαθέσιμο προς το παρόν. Παρακαλούμε επικοινωνήστε με τον διαχειριστή σας εάν το πρόβλημα
εξακολουθεί να υπάρχει."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","Αυτό το αρχείο δεν είναι διαθέσιμο προς το παρόν. Παρακαλούμε επικοινωνήστε με τον διαχειριστή σας εάν το πρόβλημα
 εξακολουθεί να υπάρχει."
This file type is not supported on media fields,Αυτός ο τύπος αρχείου δεν υποστηρίζεται σε πεδία πολυμέσων
This group is empty,Αυτή η ομάδα είναι κενή
This import is waiting in queue.,Αυτή η εισαγωγή βρίσκεται σε αναμονή.
This label already exists in this template,Αυτή η ετικέτα υπάρχει ήδη σε αυτό το πρότυπο
This page does not need Markdown,Αυτή η σελίδα δεν απαιτεί χρήση Markdown
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","Αυτή η σελίδα χρησιμοποιεί αποκλειστικά HTML (το Markdown δεν υποβάλλεται σε επεξεργασία). Μπορείτε να ενσωματώσετε χάρτες, γραφήματα,
 λίστες οντοτήτων και άλλα στοιχεία."
This property can not be deleted,Αυτή η ιδιότητα δεν μπορεί να διαγραφεί
This property will appear in the library cards as part of the basic info.,Αυτή η ιδιότητα θα εμφανίζεται στις κάρτες βιβλιοθήκης ως μέρος των βασικών πληροφοριών.
This property will be shown using all the width available.,Αυτή η ιδιότητα θα εμφανίζεται χρησιμοποιώντας όλο το διαθέσιμο πλάτος.
This property will be shown without the label,Αυτή η ιδιότητα θα εμφανίζεται χωρίς την ετικέτα
This property will be the default filter in the library for this template.,Αυτή η ιδιότητα θα είναι το προεπιλεγμένο φίλτρο στη βιβλιοθήκη για αυτό το πρότυπο.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","Αυτή η ιδιότητα θα χρησιμοποιηθεί για το φιλτράρισμα των αποτελεσμάτων βιβλιοθήκης. Όταν οι ιδιότητες ταιριάζουν σε όνομα και τύπο πεδίου με άλλους τύπους οντοτήτων, θα συνδυαστούν για φιλτράρισμα."
This search could not be completed. Try again later.,Η αναζήτηση δεν μπόρεσε να ολοκληρωθεί. Δοκιμάστε ξανά αργότερα.
"This site uses cookies for language preferences and analytics. Session cookies are only
            set when you log in.","Αυτός ο ιστότοπος χρησιμοποιεί cookies για τις προτιμήσεις γλώσσας και την ανάλυση δεδομένων. Τα cookies περιόδου λειτουργίας
 ορίζονται μόνο όταν συνδέεστε."
This table of contents was automatically created by the system.,Αυτός ο πίνακας περιεχομένων δημιουργήθηκε αυτόματα από το σύστημα.
this template,αυτό το πρότυπο
This template is in use by existing entities and cannot be deleted.,Αυτό το πρότυπο χρησιμοποιείται από υπάρχουσες οντότητες και δεν μπορεί να διαγραφεί.
Thumbnail,Μικρογραφία
Thumbnail frame,Thumbnail frame
Time,Χρόνος
Time (UTC),Ώρα (UTC)
Timeline,Χρονολόγιο
Timelinks,Χρονοσυνδέσμος
Timestamp,Χρονοσφραγίδα
tips,συμβουλές
Title,Τίτλος
To,Έως
"To complete the account creation process, please create a password for your account","Για να ολοκληρώσετε τη διαδικασία δημιουργίας λογαριασμού, δημιουργήστε έναν κωδικό πρόσβασης για το λογαριασμό σας."
to view your authentication code and verify your identity.,για να δείτε τον κωδικό πιστοποίησης και να επαληθεύσετε την ταυτότητά σας.
Today,Σήμερα
Toggle relationship details,Εμφάνιση/απόκρυψη λεπτομερειών σχέσης
Toggle timeline mode,Εναλλαγή λειτουργίας χρονολογίου
Tools,Εργαλεία
total entities,σύνολο οντοτήτων
Total files,Σύνολο αρχείων
total files,σύνολο αρχείων
"Total files from main documents, supporting files and uploads","Σύνολο αρχείων από κύρια έγγραφα, υποστηρικτικά αρχεία και μεταφορτώσεις"
Total imports,Συνολικές εισαγωγές
total users,σύνολο χρηστών
Train,Εκπαίδευση
Train model,Εκπαίδευση μοντέλου
Train model description,Η εκπαίδευση μοντέλων μηχανικής μάθησης μπορεί να διαρκέσει από λεπτά έως μερικές ώρες ανάλογα με την ποσότητα των επισημασμένων δεδομένων και τη δυσκολία της εργασίας.
Training,Εκπαίδευση
Training model,Εκπαίδευση μοντέλου
Training sample,Δείγμα εκπαίδευσης
Translate,Μετάφραση
Translating,Translating
Translation,Μετάφραση
Translations,Μεταφράσεις
Translations imported.,Οι μεταφράσεις εισήχθησαν.
Translations reset successfully,Οι μεταφράσεις επαναφέρθηκαν επιτυχώς
Translations saved,Οι μεταφράσεις αποθηκεύτηκαν
Try a different search or clear filters.,Δοκιμάστε μια διαφορετική αναζήτηση ή καταργήστε τα φίλτρα.
Turn off inline translation,Απενεργοποίηση ενσωματωμένης μετάφρασης
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","Δύο κατηγορικές διαστάσεις επιτρέπουν τη δημιουργία γραφημάτων με στοιβαγμένες ράβδους (π.χ. ανά χώρα με
ανάλυση ανά φύλο)."
Two-Factor Authentication,Πιστοποίηση δύο παραγόντων
Two-factor authentication enabled,Η πιστοποίηση δύο παραγόντων ενεργοποιήθηκε
Two-factor authentication failed.,Η πιστοποίηση δύο παραγόντων απέτυχε.
Two-factor authentication secret,Μυστικό πιστοποίησης δύο παραγόντων
Two-factor verification failed,Η επαλήθευση δύο παραγόντων απέτυχε
Two-step verification,Επαλήθευση δύο βημάτων
Two-step verification token required,Απαιτείται token επαλήθευσης δύο βημάτων
Type,Τύπος
U,U
"Unable to save, failed response","Αδυναμία αποθήκευσης, αποτυχημένη απάντηση"
Unauthorized,Μη εξουσιοδοτημένο
Unexpected error,Μη αναμενόμενο σφάλμα
Uninstall,Απεγκατάσταση
Uninstall language,Απεγκατάσταση γλώσσας
Uninstalling language,Απεγκατάσταση γλώσσας
Unknown entity,Άγνωστη οντότητα
Unknown template,Άγνωστο πρότυπο
Unlink,Αποσύνδεση
Unlock account,Ξεκλείδωμα λογαριασμού
Unsaved changes,Μη αποθηκευμένες αλλαγές
Unsupported OCR language,Μη υποστηριζόμενη γλώσσα OCR
Untitled,Χωρίς τίτλο
Untranslated Terms,Αμετάφραστοι όροι
Update,Ενημέρωση
UPDATE,ΕΝΗΜΕΡΩΣΗ
Update from collection,Ενημέρωση από τη συλλογή
Update success,Επιτυχία ενημέρωσης
Updated,Ενημερώθηκε
Updated file,Το αρχείο ενημερώθηκε
Updated multiple entities,Οι πολλαπλές οντοτήτες ενημερώθηκαν
Updated permissions on entity,Τα δικαιώματα οντότητας ενημερώθηκαν
Updated relationships,Οι σχέσεις ενημερώθηκαν
Updated settings,Οι ρυθμίσεις ενημερώθηκαν
Updated translations,Οι μεταφράσεις ενημερώθηκαν
Updated user,Ο χρήστης ενημερώθηκε
Updating template properties across,Ενημερώνονται ιδιότητες προτύπου σε
Updating…,Ενημέρωση…
Upload,Upload
Upload and select file,Μεταφόρτωση και επιλογή αρχείου
Upload from computer,Μεταφόρτωση από υπολογιστή
Upload image,Ανεβάστε εικόνα
Upload PDF,Μεταφόρτωση PDF
Upload PDF(s) to create,Ανεβάστε PDF(s) για να δημιουργήσετε
Uploaded attachment,Το συνημμένο αρχείο μεταφορτώθηκε
Uploaded custom file,Το προσαρμοσμένο αρχείο μεταφορτώθηκε
Uploaded document,Το έγγραφο μεταφορτώθηκε
Uploaded file,Το αρχείο μεταφορτώθηκε
Uploading,Μεταφόρτωση
Uploading ...,Μεταφόρτωση...
Uploads,Μεταφορτώσεις
URL,URL
Use,Χρήση
Use as filter,Χρήση ως φίλτρο
Use for training,Χρήση για εκπαίδευση
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Χρησιμοποιήστε αυτό το iframe σε εξωτερικούς ιστότοπους. Αλλάξτε την παράμετρο ερωτήματος «locale» στη διεύθυνση URL, αν
 χρειαστεί."
Use URL,Χρήση URL
Used in templates and {n} refs — cannot delete,Χρησιμοποιείται σε πρότυπα και {n} αναφορές — δεν είναι δυνατή η διαγραφή
Used in templates — cannot delete,Χρησιμοποιείται σε πρότυπα — δεν είναι δυνατή η διαγραφή
Used in {n} refs — cannot delete,Χρησιμοποιείται σε {n} αναφορές — δεν είναι δυνατή η διαγραφή
User,Χρήστης
User Action,Ενέργεια χρήστη
User Role,Ρόλος χρήστη
User updated,Ο χρήστης ενημερώθηκε
Username,Όνομα χρήστη
Username is required,Απαιτείται όνομα χρήστη
Username is too long,Το όνομα χρήστη είναι πολύ μεγάλο
Username is too short,Το όνομα χρήστη είναι πολύ μικρό
"Username, email or group","Όνομα χρήστη, διεύθυνση email ή ομάδα"
Usernames cannot have spaces,Τα ονόματα χρηστών δεν μπορούν να έχουν κενά
Users,Χρήστες
Users & Groups,Χρήστες & Ομάδες
Using Authenticator,Χρήση της εφαρμογής πιστοποίησης ταυτότητας
Using URLs,Χρήση URLs
Uwazi,Uwazi
Uwazi Docs,Uwazi Docs
Uwazi is developed by,Το Uwazi έχει αναπτυχθεί από
Uwazi UI,Uwazi UI
Validating,Έλεγχος
Validating file structure and headers.,Έλεγχος της δομής του αρχείου και των κεφαλίδων.
Value,Αξία
Value cannot be transformed to the correct type,Η τιμή δεν μπορεί να μετατραπεί στον σωστό τύπο
values,τιμές
"values are staged, not saved","οι τιμές είναι σε αναμονή, δεν έχουν αποθηκευτεί"
Verify,Επαλήθευση
Verifying...,Επαλήθευση...
via,μέσω
View,Προβολή
view,προβολή
View entities,Προβολή οντοτήτων
View entity,Προβολή οντότητας
View in library,Προβολή στη βιβλιοθήκη
View page,Προβολή σελίδας
Visibility,Ορατότητα
Visualization data updated from your collection.,Τα δεδομένα οπτικοποίησης ενημερώθηκαν από τη συλλογή σας.
WARNING,ΠΡΟΕΙΔΟΠΟΙΗΣΗ
Warning: you are editing multiple entities. Fields marked with a,Προειδοποίηση: επεξεργάζεστε πολλαπλές οντότητες. Τα πεδία που σημειώνονται με
We can't find the page you're looking for.,Δεν μπορούμε να βρούμε τη σελίδα που ψάχνετε.
Welcome to Uwazi,Καλώς ήλθατε στο Uwazi
"Well, this is awkward...","Λοιπόν, αυτό είναι άβολο..."
"When enabled, visitors must accept or reject non-essential cookies before they are set.
    Analytics and language preference cookies are blocked until accepted.","Όταν είναι ενεργοποιημένη αυτή η λειτουργία, οι επισκέπτες πρέπει να αποδεχθούν ή να απορρίψουν τα μη απαραίτητα cookies πριν από την αποθήκευσή τους.
    Τα cookies ανάλυσης και προτίμησης γλώσσας αποκλείονται έως ότου γίνουν αποδεκτά."
Whitelisted templates,Επιτρεπόμενα πρότυπα
wildcard,χαρακτήρας μπαλαντέρ
wildcard (many chars),χαρακτήρας μπαλαντέρ (πολλοί χαρακτήρες)
wildcard (one char),χαρακτήρας μπαλαντέρ (ένας χαρακτήρας)
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Θα επιχειρήσει να γεμίσει το περιέχον, χρησιμοποιώντας ολόκληρο το πλάτος του. Στις κάρτες, είναι πιθανό να προκύψει περικοπή."
will be updated with the same value.,θα ενημερωθεί με την ίδια τιμή.
Will show the entire media inside the container.,Θα εμφανίσει ολόκληρο το πολυμέσο μέσα στο περιέχον.
with,με
With great power comes great responsibility!,Με τη μεγάλη δύναμη έρχεται και η μεγάλη ευθύνη!
wom?n,γυναίκ?ς
x,x
x less,λιγότερα
x more,περισσότερα
Year,Έτος
Yes,Ναι
You can add one or many items in this form.,Μπορείτε να προσθέσετε ένα ή πολλά στοιχεία σε αυτή τη φόρμα.
You can also enter this secret key into your Authenticator app.,Μπορείτε επίσης να εισαγάγετε αυτό το μυστικό κλειδί στην εφαρμογή πιστοποίησης ταυτότητας.
You can create metadata templates in,Μπορείτε να δημιουργήσετε πρότυπα μεταδεδομένων στο
"You can embed advanced components like maps, charts and entity lists in your page.","Μπορείτε να ενσωματώσετε στη σελίδα σας προηγμένα στοιχεία, όπως χάρτες, γραφήματα και λίστες οντοτήτων."
You do not have write permission on all entities,Δεν έχετε δικαιώματα εγγραφής σε όλες τις οντότητες
You have unsaved changes. Discard them? This action cannot be undone.,Έχετε αλλαγές που δεν έχουν αποθηκευτεί. Θέλετε να τις απορρίψετε; Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
You have unsaved changes. Do you want to continue?,Έχετε μη αποθηκευμένες αλλαγές. Θέλετε να συνεχίσετε;
You should activate this feature for enhanced account security,Θα πρέπει να ενεργοποιήσετε αυτή τη λειτουργία για αυξημένη ασφάλεια λογαριασμού
You should activate this feature for enhanced account security.,Θα πρέπει να ενεργοποιήσετε αυτή τη λειτουργία για αυξημένη ασφάλεια λογαριασμού.
You won't be able to save an entity if this property is empty.,Δεν θα μπορείτε να αποθηκεύσετε μια οντότητα αν αυτή η ιδιότητα είναι κενή.
You're all caught up,Τώρα είστε ενήμεροι για όλα
Your account's security is enhanced with two-factor authentication.,Η ασφάλεια του λογαριασμού σας ενισχύεται με την πιστοποίηση ταυτότητας δύο παραγόντων.
Z → A,Ω → Α
Zoom in,Μεγέθυνση
Zoom in library view,Μεγέθυνση προβολής βιβλιοθήκης
Zoom out,Σμίκρυνση
Zoom out library view,Σμίκρυνση προβολής βιβλιοθήκης
