Key,Component,View,Context
Selected or suggested,Filter toggle label,Settings > Metadata extraction,"Label on the second radio option of the multiselect list's All/Selected filter, shown when the list also displays AI-suggested values in the metadata extraction property sidepanel."
Selected templates,Section subheading,Settings > Metadata extraction,Subheading in step 2 of the Extractor modal above the pills listing templates chosen for the extractor.
Send,Button label,Pages,Submit button on the contact form widget embedded in a Page.
Send recovery email,Submit button label,Login,"Login form's submit button label when the user has switched to ""forgot password"" mode."
Sending email,Input field label,Settings > Collection,Label with tooltip for the field entering the sender email address used for outgoing mail.
Sending email description,Tooltip,Settings > Collection,Tooltip on the sending email field explaining the default sender address and how to override it.
Sending labeled data,Progress status message,Settings > Metadata extraction,Progress text (with trailing ellipsis) shown while labeled training data is being sent to the model.
Series,Table column header,Settings > Dataviz > Preview panel,Column header in the data summary table listing the breakdown series label for each row.
Services,Card section heading,Settings > Collection,"Title of the card holding service-related toggles, shown only when OCR is configured."
Set as default,Button label (screen-reader) / column header,Settings > Templates,"Screen-reader-only label on the star button that marks a template as default, and the header for that column in the templates list."
Set default language,Activity log entry description,Settings > Activity Log,"`desc: 'Set default language'` in the `ParsedActions` map for endpoint `POST/api/translations/setasdeafult` in `app/api/activitylog/activitylogParser.ts:156`; surfaced to the client as `semantic.description` and rendered via `<Translate>{semanticData.description}</Translate>` in `ActivityLog/components/TableElements.tsx` and `ActivityLogSidePanel.tsx` — a variable child, not a literal."
Set default template,Activity log entry description,Settings > Activity Log,"`desc: 'Set default template'` in the `ParsedActions` map for endpoint `POST/api/templates/setasdefault` in `app/api/activitylog/activitylogParser.ts:133`; same dynamic `<Translate>{semanticData.description}</Translate>` rendering path as ""Set default language""."
Set the default starting point for your geolocation properties.,Tooltip,Settings > Collection,Tooltip on the map axis field explaining what it configures.
settings,Link label,Entity metadata form,"Link text inside the ""You can create metadata templates in settings"" tip on the entity form, pointing to the Settings section."
Settings,Navigation link label,Global navigation,"Label and aria-label for the link to account settings, shown in the footer and the main navigation menu for logged-in users."
Settings navigation active background,Color swatch label (theme editor),Settings > Collection > Theming (Advanced colors panel),"Value in the `CHROME_VAR_LABELS` lookup map (`app/react/V2/theme/themeChromeOverrides.ts:22`) keyed by CSS var `--color-theme-chrome-settings-nav-item-active-bg`; rendered as `<Translate>{CHROME_VAR_LABELS[key]}</Translate>` in `ThemeAdvancedColorsSection.tsx:101`, one row of a per-variable color-picker list."
Settings sidebar background,Color swatch label (theme editor),Settings > Collection > Theming (Advanced colors panel),"Value in the same `CHROME_VAR_LABELS` map keyed by `--color-theme-chrome-settings-rail-bg` (`themeChromeOverrides.ts:21`); rendered the same dynamic way as ""Settings navigation active background""."
Settings updated,Toast notification,Settings > Collection,Success toast shown after saving changes on the Collection settings form.
Share,Button label and modal heading,Entity view,"Button that opens the share modal, and the heading of that modal, used to manage who can access the entity."
Share edit access with other users,Table cell (permissions matrix row label),Settings > Users (Permissions info modal opened from the user/group side panel),"Row value `action: 'Share edit access with other users'` in the `permissionsByRole` array in `PermissionsListModal.tsx:61`; rendered via `<Translate>{cell.getValue()}</Translate>` in `ActionCell`, a table-driven variable, not a literal."
Share entities with the public,Table cell (permissions matrix row label),Settings > Users (Permissions info modal),Row value `action: 'Share entities with the public'` in the same `permissionsByRole` array (`PermissionsListModal.tsx:75`); rendered through the same dynamic `ActionCell` `<Translate>{cell.getValue()}</Translate>`.
Share with people and groups,Modal heading,Library / Entity view,Heading of the legacy modal used to share one or more entities with specific people or groups.
Shared as editor,Filter section label,Library,List item heading above the multiselect for filtering entities shared with the user as editor in the Library filters panel.
Shared as viewer,Filter section label,Library,List item heading above the multiselect for filtering entities shared with the user as viewer in the Library filters panel.
Show actions,Button label,Library,Button that expands the Library footer's action buttons when they are hidden.
Show cookie policy,Toggle label,Settings > Collection,Label for the toggle that shows a cookie policy notice to visitors.
Show details,Toggle button label,Global,"Label on an ""expand"" toggle button, used both on the generic error page's stack-trace section and in the notification drawer's detail section."
Show filters,Button label / tooltip,Library,Button and tooltip in the Library header's mobile toggle that opens the filters side panel.
Show in cards,Checkbox label,Settings > Templates,Checkbox label for the property setting that displays the property on library cards; also shown as a summary pill in the properties table.
Show information,Menu section heading,Library,"Heading inside the toolbar's Display options menu, above the thumbnail/metadata visibility checkboxes."
Show less,Toggle button label,Unresolved,"Collapses expanded text in the shared ExpandableText and FadeTruncate components, also used by Library's keyword facet list."
Show more,Link or button label,Library,"Generic ""show more"" label reused on search snippets, truncated text, and paginated lists."
Show remaining in panel,Icon button label / tooltip,Entity view,"Screen-reader label and tooltip for the ""..."" marker on the entity document's relationship rail that reveals additional relationship markers grouped at one position."
Show toolbar,Button label,Library,"Button shown when the toolbar is collapsed, used to expand the Library header toolbar again."
Showing,Notice text,Entity view,Part of the fallback notice over the document viewer shown when no translation exists in the selected language.
Showing the top,Info banner text (fragment),Entity view,"First part of the banner shown atop the graph view when relationships exceed the display cap (e.g. ""Showing the top 50 of 120 relationships"")."
shown of,Counter text,Library,Part of the same entity-count summary shown above the Library results list.
Sign in,Navigation link label,Global navigation,Label and aria-label for the mobile menu link that takes an anonymous user to the sign-in page.
Simple mode,Toggle button label,Settings > Theme and branding,Switches the theme color editor into simplified mode with fewer color controls.
Single relationships must have a hub,Error notification (toast),Shared (used across N views) — any flow that saves entity relationships,"Backend invariant thrown via `createError('Single relationships must have a hub')` in `app/api/relationships/relationships.js:206` when a relationship group of size 1 has no hub set. It reaches the UI only through the generic legacy error handler `extractMessageFromError`/`handleErrorStatus` in `app/react/utils/api.js:49`, which calls `t('System', error.json.error, null, false)` on the raw backend message before dispatching it as a notification — a fully dynamic, backend-sourced string invisible to literal scanning."
Site logo description,Tooltip,Settings > Collection,Tooltip explaining where the site logo appears and how to set it via Custom Uploads.
Site logo no images hint,Empty-state message,Settings > Collection,Hint shown in the site logo picker's gallery when no uploaded images fit the logo size requirements.
Size,Field label,Shared (used across 4 views),"Label preceding a file's or file batch's size, shown in the dropzone summary, an uploaded file card, and the entity file details panel."
Skip to main content,Accessibility skip link,Unresolved,Visually-hidden link at the top of the global Header letting keyboard users jump past navigation to the main content.
Some tasks may take a while. Bert will reply when it's done.,Helper text,AI Assistant (Bert) panel,Small note under the chat input in the Bert modal explaining that long-running tasks reply asynchronously.
Something went wrong,Error page body text,"Generic error page (`/error/:errorCode`, e.g. `/error/500`)","Fallback `message` for the 500 entry in the `handledErrors` map (`app/react/V2/shared/errorUtils.tsx:20`, also reused as the ultimate fallback string at line 143); rendered via `<Translate>{currentError.message}</Translate>` in `ErrorFallback.tsx:33`, driven by `error.name`/`status` lookup from `GeneralError.tsx`, not a literal."
Sort,Menu row label,Entity view,Label for the sort-order control in the relationships display menu.
Sort ascending,Screen-reader-only button text,Library,"Hidden text inside the sort-direction toggle button, read by screen readers when the current order is descending."
Sort descending,Screen-reader-only button text,Library,"Hidden text inside the sort-direction toggle button, read by screen readers when the current order is ascending."
Sort order,Aria label,Library,Accessible name for the select control that toggles ascending/descending order in the Display options menu.
sorted by,Label text,Library,Text preceding the sort dropdown in the Library header's toolbar.
Source,Button label / table column header,Entity view / Settings > Dataviz / Settings > Metadata extraction,"Generic ""source"" label used as the ""Edit at source"" button text in the entity relationship field editor, as a data-source row/column heading in the Dataviz chart editor, and as a table column header in IX metadata extraction."
Source entity,Dropdown option label,Entity view,"""Group by source entity"" option in the relationships panel's group-by menu."
Source page,Dropdown option label,Entity view,"""Group by source page"" option in the relationships panel's group-by menu."
Source relationship type,Form field label,Settings > Paragraph Extraction,Label for the source relationship-type dropdown in the extraction configuration step of the create-extractor wizard.
Source template,Dropdown option label,Entity view,"""Group by source template"" option in the relationships panel's group-by menu."
Source Template,Table column header,Settings > Extract Data (Paragraph Extraction) — Extractors list,"`generateTableHeader('Source Template')` in `.../ParagraphExtraction/components/extractors/TableElements/columns.tsx:12`; `generateTableHeader` is a curried factory whose returned header component renders `<Translate>{translationKey}</Translate>` (`utils/generateTableHeader.tsx:15`) — the string is passed as a function argument, never appearing as a literal inside `<Translate>` or `t()` directly."
Source's role in the relationship Source-Target.,Form field helper text,Settings > Paragraph Extraction,Descriptive subtext under the source relationship type dropdown in the create-extractor wizard.
Stage,Field label,Settings > Import CSV,Label preceding the pipeline stage name in the failure details panel shown when an import fails.
stat*,Code example,Entity view,Code-styled example of a multi-character wildcard search term in the search-tips popover.
Statistics,Section label,Settings > Metadata extraction,Section heading in the Stats & Filters sidepanel above the model accuracy statistic.
Stats & Filters,Button label / panel title,Settings > Metadata extraction,"Toolbar button on the suggestions table that opens the filters sidepanel, and that sidepanel's own title."
Status,Filter section heading,Shared (used across 4 views),Title of the facet card grouping the Published/Restricted status filters in the Library sidebar.
status AND women NOT Nicaragua,Example search query text,Entity view,Sample boolean query shown in the relationship search tips popover and as a clickable insert-example row in the document search tips popover.
Stop filling,Button aria-label,Entity view,Accessible label on the close (X) button of the listening chip that stops voice dictation for a field.
Storage,Card title,Settings > Dashboard,Title of the card showing total storage usage on the dashboard.
Streets,Multi-select option label,Settings > Collection,"Option in the Map Layers multi-select, under the Map card, selecting the streets map tile style."
Strict mode,Checkbox label,Library,Label next to a checkbox in a nested filter that toggles strict matching for that filter's selected values.
Style,Radio group legend,Settings > Templates,Legend of the Fill/Fit radio option group for media-type properties in the property editor panel.
Submit,Button label,Pages,Submit button at the bottom of a public entity submission form.
Submitted entity to a remote instance,Activity log entry description,Settings > Activity Log,"`desc: 'Submitted entity to a remote instance'` for endpoint `POST/api/remotepublic` in `app/api/activitylog/activitylogParser.ts:33`; rendered dynamically via `<Translate>{semanticData.description}</Translate>` in the Activity Log table/side panel, same mechanism as the other `desc` entries."
Submitting,Loading state heading,Pages,Shown while a public entity submission form is sending data.
Success,Toast notification,Public Form,Success toast shown after an anonymous visitor submits the embedded public entity-submission form.
"Success, Upload another?",Upload button label (post-success state),"Legacy Entity viewer (`/legacy-entity/:sharedId`, and `/entity/:sharedId` fallback when Entity Viewer V2 is disabled) — attachments/documents file list","`this.renderButton('success', 'check', 'Success, Upload another?')` in `app/react/Metadata/components/UploadButton.jsx:125`; `renderButton` renders `<Translate>{message}</Translate>` with `message` as a function parameter. `UploadButton` is used by the legacy `Attachments/components/FileList.tsx`, mounted from `Entities/components/EntityViewer.jsx` and `Documents/components/DocumentSidePanel.jsx`, shown as the label of the PDF upload control right after a successful upload completes."
suggestions,Table cell label,Settings > Metadata extraction,"Unit label after a count in the suggestions table, showing the total number of suggestions for a multi-value property row."
Suggestions sent,Toast notification,Settings > Metadata extraction,Info toast shown after suggestions are successfully submitted for acceptance from the suggestions table.
Suggestions updated,Toast notification,Settings > Metadata extraction,Success toast shown when a socket event confirms accepted suggestions were saved.
Supported chart types for manual data,Callout heading,Settings > Data Visualizations,Heading in the info callout listing chart types compatible with manually entered data.
Supported chart types for this configuration,Callout heading,Settings > Data Visualizations,Heading in the info callout listing chart types compatible with the current query configuration.
Supporting,Status badge,Entity view,"Badge marking a file as a supporting, non-primary document attached to the entity."
Supporting file,Dropdown option label,Entity view,"Option in the add-file modal's ""Add as"" dropdown for uploading a file as a supporting file."
Supporting files,Section heading,Shared (used across 2 views),"Heading for the supporting files/attachments section shown when viewing or editing an entity's metadata, in Library and Entity view."
Synced template,Badge label,Settings > Templates,Label next to the icon shown in a template row's Synced column when the template comes from a sync.
Synced Template,Column header,Settings > Templates,"Header of the sync-status column in the templates list table, shown only when synced templates exist."
Synced templates cannot be deleted.,Tooltip text,Settings > Templates,Tooltip on the disabled row-selection checkbox for a synced template in the templates list table.
System translations,Table section heading,Settings > Translations,Heading above the table listing system (UI) translation contexts on the Translations settings page.
Table,View-mode option label / placeholder title,Shared (used across 2 views),"Option in the toolbar's view dropdown, and the heading shown in the not-yet-available Table results view."
Table of contents,Panel heading,Entity view,Heading of the table-of-contents panel in the entity's document side panel.
Table of Contents,Tab label/tooltip,Shared (used across 2 views),"Label and tooltip for the Table of Contents tab in a document's side panel, shown in Library and Entity view."
Table of contents saved successfully,Success notification,Entity view,Toast confirming the table of contents was saved successfully.
Table view,Tooltip / button label,Library,Tooltip text on the button that switches Library results to the table view layout.
Target entity,Dropdown option label,Entity view,"""Group by target entity"" option in the relationships panel's group-by menu."
Target entity type,Facet section title,Entity view,Title of the filter-drawer section for filtering relationships by the target entity's template.
Target relationship type,Form field label,Settings > Paragraph Extraction,Label for the target relationship-type dropdown in the extraction configuration step of the create-extractor wizard.
Target template,Dropdown option label,Entity view,"""Group by target template"" option in the relationships panel's group-by menu."
Target Template,Table column header,Settings > Extract Data (Paragraph Extraction) — Extractors list,"`generateTableHeader('Target Template')` in `.../ParagraphExtraction/components/extractors/TableElements/columns.tsx:20`; same dynamic `<Translate>{translationKey}</Translate>` mechanism as ""Source Template"", in the adjacent table column."
Target:,Label,Entity view,Label preceding the target entity's template and title shown at the top of the relation-type selection step.
Target's role in the relationship Source-Target.,Form field helper text,Settings > Paragraph Extraction,Descriptive subtext under the target relationship type dropdown in the create-extractor wizard.
Tasks,Section label,Unresolved,Section header above the running/queued tasks list in the Notifications panel.
Template,Form field label,Settings > Import CSV,"Label for the template dropdown in the upload modal, the Template column in the imports table, and the template name shown on the import status page."
Template changes are being applied to all related entities.,Toast notification,Settings > Templates,Warning toast shown when saving template property changes that require reprocessing existing entities.
Template color,Accessibility label,Settings > Templates,"Screen-reader-only label on the color-swatch trigger button of the shared ColorPicker component; primarily used to pick a template's color in Settings > Templates, though the same component (and label) is reused in the Dataviz editor and Theme selector."
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.",Hint text,"Settings > Data Visualizations (Dataviz editor, Appearance tab)","Literal multi-line `<Translate>` JSX text node in `app/react/V2/Dataviz/editor/components/tabs/AppearanceTab.tsx:81-84`, shown under the color-mode controls when `colorMode` is `'template'` or `'from_data'` and the chart's dimension isn't already entity type — a genuine usage the scanner likely missed due to the wrapped multi-line JSX text formatting rather than any dynamic construction."
Template conflict,Confirmation modal header,Settings > Templates (Template editor — reindex confirmation dialog),"`title: 'Template conflict'` in the `confirmationMessages.templateConflict` object (`Settings/Templates/helpers.ts:61`), passed as `header={confirmationMessages.templateConflict.title}` to `ConfirmationModal` (`TemplatesEditor.tsx:383`); `ConfirmationModal`'s `renderChild` wraps string props in `<Translate>{child}</Translate>` dynamically (`ConfirmationModal.tsx:64`)."
Template name,Input placeholder,Settings > Templates,Placeholder text for the template name field in the template editor header.
Template name already exists,Input validation error message,Settings > Templates,Error message shown under the template name field when the entered name is already used by another template.
Template processing completed.,Toast notification,Settings > Templates,Success toast shown once background reprocessing of a template's entities finishes.
Template saved successfully.,Toast notification,Settings > Templates,Success toast shown after a template is saved without needing background reprocessing.
Template with a long number of entities,Confirmation modal body (translation lookup key),Settings > Templates (Template editor — lengthy reindex warning dialog),"`key: 'Template with a long number of entities'` in `confirmationMessages.largeNumberOfEntities` (`Settings/Templates/helpers.ts:72`), passed as `<Translate translationKey={confirmationMessages.largeNumberOfEntities.key}>{...text}</Translate>` (`TemplatesEditor.tsx:366`). `Translate` uses `translationKey || children` as the actual i18n lookup key (`app/react/I18N/Translate.tsx:61`), so this string is the real translation key while the long English sentence is only the fallback/default text — fully invisible to literal scanning."
Template(s),Table column header,Settings > Metadata extraction,Column header in the extractors table listing which templates each extractor applies to.
Template(s) deleted successfully.,Toast notification,Settings > Templates,Success toast shown after deleting one or more templates from the templates list.
Templates,Table column header,Settings > Relationship types,Header label for the table column listing which templates use each relationship type.
Text,Field label,Settings > Paragraph Extraction,"Label above the extracted paragraph body in the paragraph view side panel, in ViewParagraph.tsx."
Text references limit warning,Warning banner,Entity view,"Inline warning in the connections/references list when more than 300 text references exist, noting the temporary limit."
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.",Toast notification,"Settings > Extract Data (Paragraph Extraction) — Extractors list and the ""Extract selected entities"" dialog","Literal `t('System', '...', null, false)` calls in `PXEntities.tsx:58` and `.../ExtractEntitiesDialog/index.tsx:46`, shown as a success toast after starting paragraph extraction. The source now writes this as one unwrapped line, while `en.csv` preserves an older wrapped-JSX-style line break/indentation for the same text — the scanner's exact-string match fails on the reformatting even though the content is identical and actively used."
The request could not be processed.,Error page body text,"Generic error page (`/error/:errorCode`, e.g. `/error/400`)","`message` for the 400 entry in the `handledErrors` map (`app/react/V2/shared/errorUtils.tsx:10`); rendered via `<Translate>{currentError.message}</Translate>` in `ErrorFallback.tsx:33`, same dynamic mechanism as ""Something went wrong""."
The source of this template is a sync.,Tooltip text,Settings > Templates,"First line of the tooltip shown when hovering the ""Synced template"" badge in the templates list table."
The token does not validate against the secret key!,Validation error message,Settings > Account,Error text shown under the verification-code input when the entered code fails to validate.
"the words together, in that order",Search tip description,Entity view,Explanatory text next to the phrase-search example in the search tips popover.
the words within 5 of each other,Search tip description,Entity view,Explanatory text next to the proximity-search example in the search tips popover.
Theme and branding,Card heading and sidepanel title,Settings > Collection,Title of the theme summary card and of the sidepanel it opens for editing theme colors and branding assets.
Theme colors imported,Toast notification,Settings > Theme and branding,Success toast shown after a theme instance file is successfully imported and applied.
Theme favicon,Section heading,Settings > Collection,Heading over the light/dark favicon upload pickers in the theme sidepanel.
Theme instance file invalid,Toast notification,Settings > Theme and branding,Error toast shown when an imported theme JSON file fails to parse or fails validation.
Theme logotype,Section heading,Settings > Collection,Heading over the light/dark site logo upload pickers in the theme sidepanel.
Theme presets,Section label,Settings > Theme and branding,"Label above the row of selectable theme preset cards (Default, Legacy, Custom, etc.) in the theme editor."
Theme preview,Section subtitle,Settings > Theme and branding,"Heading text inside the live preview card, above the sample primary/secondary buttons."
Then by,Menu row label,Entity view,Label for the secondary grouping control shown when relationships are grouped by a field.
There are no pages enabled for entity view,Inline notice text,Settings > Templates,Message shown in the template editor header when no pages are configured to display a custom entity view.
There are no untranslated terms,Empty-state message,Settings > Translations,Info banner shown in the terms table when no untranslated terms remain.
Thesauri,Navigation link (also reused as a table heading and column header),Settings,Sidebar link in Settings navigation to the Thesauri page; the same key labels the Thesauri table's heading and a column header in the template matching-properties table.
Thesauri added.,Toast notification (success),Settings > Thesauri,Success toast shown after successfully creating a new thesaurus.
Thesauri deleted,Toast notification (success),Settings > Thesauri,Success toast shown after deleting one or more selected thesauri from the thesauri list.
Thesauri name,Input placeholder,Settings > Thesauri,Placeholder text in the thesaurus name field above the values table in the editor.
thesauri new group desc,Info banner help text,Settings > Thesauri,"Detailed help text in the add-group sidepanel's info banner, explaining that new item rows appear as you type."
thesauri new item desc,Info banner help text,Settings > Thesauri,"Detailed help text in the add-item sidepanel's info banner, explaining that new item rows appear as you type."
Thesauri updated.,Toast notification (success),Settings > Thesauri,"Success toast shown after a thesaurus is updated, whether by saving edits or importing a file into an existing thesaurus."
Thesauri values created,Stat card label,Settings > Import CSV,"Label above the count of thesaurus values created, shown in a summary card on the import status page."
Thesaurus,Dropdown label,Settings > Templates,Label above the select dropdown for choosing a thesaurus in the select/multiselect property editor.
Thesaurus created successfully.,Toast notification,Settings > Templates,Success toast shown after creating a new thesaurus from the Add thesaurus modal.
Thesaurus name,Input placeholder,Settings > Templates,Placeholder text for the name field in the Add thesaurus modal.
Thesaurus name already exists,Input validation error message,Settings > Templates,Error message shown under the name field in the Add thesaurus modal when the entered name is already taken.
Thesaurus saved,Success toast,Settings > Thesauri,"Toast shown after saving a thesaurus, triggered both from the Settings > Thesauri editor and from adding a new value inline while editing entity metadata."
This action may take some time while we add the extra language to the entire collection.,Descriptive helper text,Settings > Languages,Explanatory text in the install-languages modal warning that installing affects the whole collection.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Info/warning banner text,Settings > Collection (Custom Javascript tip) and Settings > Pages (page JS editor warning banner),Rendered via a literal but line-wrapped `<Translate>` in two places — collectionSettingsTips.tsx's `globalJS` export (shown as a Collection-settings tip for the site-wide custom JS field) and PageEditorComponents.tsx's `JSNotification` banner (shown above the per-page JS editor); the two-line wrapping likely defeated a single-line scanner.
This chart type cannot display the current data.,Fallback error message,Dataviz chart embed,"Fallback text shown by the embedded chart component, used in Markdown pages and external iframe embeds, when the chart type cannot render the given data."
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.",Empty-state hint text,Settings > Dataviz editor (chart preview panel),"Rendered via a literal, line-wrapped `<Translate>` in DatavizPreviewPanel.tsx, shown in the preview area when the chosen chart type can't render the current query; a shorter sibling string covers a separate early-return branch in the same file."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.",Info hint text,Settings > Dataviz editor (Chart tab),"Rendered via a literal, line-wrapped `<Translate>` in ChartTab.tsx, shown when the selected chart type (e.g. list) has no legend/label/tooltip/filter options to configure."
This content is automatically generated,Helper text,Entity metadata form,"Caption shown under a ""preview""-type metadata field noting its value was generated automatically, in both the legacy and V2 entity edit forms."
This data visualization name already exists. Enter a unique name.,Inline field error message,Settings > Dataviz > Info tab,Validation error shown under the Name field when saving a visualization with a name that is already taken.
"This entity has no document, you probably want to see the metadata",Empty-state message,Entity view,"Message shown in the document viewer header when the entity has no attached document, suggesting the metadata tab instead."
This entity is restricted from public view.,Tooltip text,Library,Tooltip on the lock icon for entities that are not published publicly.
This field is required,Validation error message,Shared (used across 7 views),Screen-reader-only error text shown under the text/markdown input in the suggestion review sidepanel when a required field is left empty.
This file could not be displayed. Try refreshing the page.,Error message (PDF viewer),Shared (used across 6 views),"Generic error state shown inside the PDF viewer for any other load failure, in the same legacy and V2 PDF viewer contexts (Entity view, Files tab, relationship text-selection, Settings Metadata/Paragraph extraction)."
This file could not be opened. It may be corrupted or not a valid PDF.,Error message (PDF viewer),Shared (used across 6 views),"Error state shown inside the PDF viewer when the file fails to parse as a valid PDF, in the same legacy and V2 PDF viewer contexts (Entity view, Files tab, relationship text-selection, Settings Metadata/Paragraph extraction)."
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.",Error message,Entity view / Settings > Metadata extraction,Error text shown in the PDF viewer when the document file returns a 404 - appears in the entity document viewer and the paragraph/metadata-extraction PDF side panels.
"This file is currently unavailable. Please contact your administrator if the issue
              persists.",Error message (PDF viewer),Shared (used across 6 views),"Error state shown inside the PDF viewer when the file returns a 404, used in the legacy Entity/document viewer and the V2 PDF viewer across Entity view, its Files tab, relationship text-selection, and the Settings Metadata/Paragraph extraction sidepanels."
This file type is not supported on media fields,Error message,Entity view,"Shown in the media/video player when a file's format cannot be played, also used in the Pages media widget."
This group is empty,Table placeholder message,Unresolved,"Placeholder row text shown for an empty group when drag-and-drop reordering is disabled, in the shared Table component."
This import is waiting in queue.,Status description,Settings > Import CSV,Description shown on the import status page while the import is queued.
This label already exists in this template,Error message,Settings > Templates,Validation error shown under the property Label input when the entered label duplicates another property's label.
This page does not need Markdown,Button label,Settings > Pages,Button inside the Markdown deprecation warning banner that switches the page off legacy Markdown support.
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.",Info banner text,Settings > Pages,Body text of the info banner shown in the HTML tab once a page has been upgraded off legacy Markdown.
This property can not be deleted,Tooltip text,Settings > Templates,"Tooltip on the disabled row-selection checkbox for a template's common properties (Title, Date added, Date modified) in the property editor's property list."
This property will appear in the library cards as part of the basic info.,Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Show in cards"" checkbox in the property editor panel."
This property will be shown using all the width available.,Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Full width"" checkbox in the property editor panel."
This property will be shown without the label,Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Hide label"" checkbox in the property editor panel."
This property will be the default filter in the library for this template.,Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Default filter"" checkbox in the property editor panel."
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.",Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Use as filter"" checkbox in the property editor panel."
This search could not be completed. Try again later.,Error state message,Entity view,Subtext shown when the document search request fails.
"This site uses cookies for language preferences and analytics. Session cookies are only
            set when you log in.",Consent banner body text,Shared (used across the app — global cookie consent popup),"Rendered via a literal, line-wrapped `<Translate>` in CookieConsentBanner.tsx, mounted app-wide from App/Cookiepopup.jsx and shown on first visit before login."
This table of contents was automatically created by the system.,Tooltip text,Entity view (document Table of Contents panel),"Passed as a raw literal string to the `content` prop of flowbite-react's Tooltip directly in ToCView.tsx — never wrapped in `<Translate>` or `t()`, so neither AST pattern matches; shown on hover of the sparkles icon next to the ToC heading when the ToC was auto-generated."
this template,Table cell text,Settings > Templates,Suffix appended to the template name in the matching-properties table to mark the row belonging to the template currently being edited.
This template is in use by existing entities and cannot be deleted.,Tooltip text,Settings > Templates,"Tooltip on the disabled row-selection checkbox for a template that has existing entities, in the templates list table."
Thumbnail,Checkbox row label,Library,Checkbox in the Display options menu that toggles thumbnail visibility in results.
Thumbnail frame,Radio group label,Library,Label above Landscape/Portrait in the Library display options menu.
Time (UTC),Field label,Settings > Dataviz > Refresh tab,Label on the time input used to set the UTC time of a scheduled refresh.
Timeline,View-mode option label / placeholder title,Library,"Option in the toolbar's view dropdown, and the heading shown in the not-yet-available Timeline results view."
Timelinks,Section heading,Entity view,"Heading over the list of timestamped markers on a media field, also used in the Pages media widget."
Timestamp,Table column header,Settings > Activity Log,"Header label for the timestamp column in the activity log table, showing when each action occurred."
tips,Button label,Entity view,Button in the entity Search tab footer that opens a popover of search syntax tips.
Title,Form field label,Shared (used across 7 views),"Label for the entity ""Title"" used as a source/property option in the extractor modal, the suggestion sidepanel's read-only text display, and the extractor table's fallback source label."
To,Field label / sr-only label,"Entity view, Library, Settings > Activity Log","Labels the end value of a date or number range, used in metadata date display, the library numeric facet filter, and the activity log date filter."
"To complete the account creation process, please create a password for your account",Info banner text,Reset/Set Password page (?createAccount=true),"Rendered via a literal, line-wrapped `<Translate>` in app/react/Users/ResetPassword.jsx, shown only when the reset-password link was generated for a newly created account."
to view your authentication code and verify your identity.,Instructional text,Login,"Second half of the same 2FA instruction sentence, split into its own Translate element."
Today,Quick-select button label,Settings > Activity Log,"Label for the ""jump to today"" button inside the date range picker in the activity log Filters side panel."
Toggle relationship details,Icon button aria-label,Entity view,Aria-label on the chevron button that expands or collapses a relationship row's details.
Toggle timeline mode,Icon button label,Entity view,Screen-reader label for the icon button that switches the entity document's relationship rail between full-document and current-page (timeline) modes.
Tools,Section heading,Settings,"Heading above the ""Tools"" group of links in the Settings navigation sidebar."
total entities,Stat label,Settings > Dashboard,"Label under the large entity count number in the Entities card, describing what the number represents."
total files,Stat label,Settings > Dashboard,"Label under the large file count number in the Files card, describing what the number represents."
"Total files from main documents, supporting files and uploads",Card subtext,Settings > Dashboard,"Descriptive caption under the file count in the Files card, explaining what counts are included."
Total imports,Stat label,Settings > Import CSV,Label next to the total-import count in the imports table's summary bar.
total users,Stat label,Settings > Dashboard,"Label under the large user count number in the Users card, describing what the number represents."
Train,Button label,Settings > Metadata extraction,Submit button at the bottom of the Train model modal that starts training the extraction model.
Train model,Button label / modal title,Settings > Metadata extraction,"Footer button on the suggestions view that opens the Train Model modal, and the modal's header title."
Train model description,Info banner text,Settings > Metadata extraction,"Explanatory text in the info banner at the top of the Train model modal, warning that training can take a while."
Training model,Progress status message,Settings > Metadata extraction,"Progress label shown while the extraction model is training, used in the task tracker and the suggestions view status footer."
Training sample,Field label,Settings > Metadata extraction,Label with an info tooltip above the radio options for choosing the training data sample in the Train model modal.
Translate,Button label,Settings > Translations,Link-wrapped button in the translation contexts table that navigates to the edit-translations page for that context.
Translation,Column header,Settings > Templates,"Header of the ""Translation"" column in the templates list table, showing each template's translated name."
Translations,Section label,Entity view,Label above the row of translation-language chips shown in a primary document's file details badge.
Translations imported.,Toast notification,Settings > Translations,Success toast shown after importing translations on the edit-translations page.
